Электромонтаж
Можно ли представить любое современное здание без электричества? Пожалуй, только при очень богатом воображении. Склад или цех, магазин или кафе, школа или офисный центр, многоквартирный городской дом или загородный коттедж сегодня никак не смогут обойтись без электроэнергии.

Конечная цель электромонтажных работ – установка иподключение всех электроприборов, необходимых для успешной работы или комфортной жизни. Но это – лишь верхушка айсберга.

Краткий список электромонтажных работ, услуг электриков может выглядеть так:

Сборка и монтаж электрощитов, установка автоматики.
Монтаж и перенос электросчетчиков, щитов, УЗО, автоматических выключателей.
Прокладка и замена электропроводки.
Прокладка кабелей скрытым или открытым способом.
Ремонт электропроводки, поиск и устранениенеисправностей в электросети.
Установка и замена розеток – сетевых, телефонных, телевизионных, электророзеток.
Установка и замена выключателей.
Прокладка слаботочных сетей (интернет, телефонных, телевизионных, систем видеоконтроля и сигнализации).
Монтаж светильников – люстр, бра, точечных ламп.
Монтаж светодиодных источников освещения и декоративной подсветки.
Подключение к электросети бытовой техники – электроплит, водонагревателей, кондиционеров, вытяжек, стиральных и посудомоечных машин, варочных панелей, и т.п.
Полный спектр работ по электрике в квартире и загородном доме, магазине, офисном центре.
Предоставляем услуги по электромонтажным работам в городе Бишкек
+996555990005
ЭЛЕКТРОМОНТАЖНЫЕ РАБОТЫ
№ п/п	Наименование работ	Ед.изм.	 Цена, сом
Кабельная продукция
1	Монтаж провода  1 х 1,5	м	20
2	Монтаж провода  1 х 2,5	м	20
3	Монтаж провода  1 х 4	м	25
4	Монтаж провода  1 х 6	м	30
5	Монтаж провода  1 х 10	м	35
6	Монтаж провода  1 х 16	м	40
7	Монтаж провода  1 х 25	м	45
8	Монтаж провода  1 х 35	м	50
9	Монтаж провода  1 х 50	м	55
10	Монтаж провода  1 х 70	м	60
11	Монтаж провода  1 х 95	м	65
12	Монтаж кабеля  3 х 1,5	м	30
13	Монтаж кабеля  3 х 2,5	м	30
14	Монтаж кабеля  3 х 4	м	35
15	Монтаж кабеля  3 х 6	м	40
16	Монтаж кабеля  3 х 10	м	45
17	Монтаж кабеля 4 х 1.5	м	30
18	Монтаж кабеля 4 х 2,5	м	35
19	Монтаж кабеля 4 х 4	м	40
20	Монтаж кабеля 4 х 6	м	45
21	Монтаж кабеля 4 х 10	м	50
22	Монтаж кабеля 4 х 16	м	55
23	Монтаж кабеля 4 х 25	м	75
24	Монтаж кабеля 4 х 35	м	95
25	Монтаж кабеля 4 х 50	м	120
26	Монтаж кабеля 4 х 70	м	150
27	Монтаж кабеля 4 х 95	м	180
28	Монтаж кабеля 4 х 120	м	220
29	Монтаж кабеля слаботочного (UTP,TV,TF)	м	30
30	Замер сопротивления изоляции и протокол испытания	линия	70
Трубы, кабельные каналы, лотки
31	Монтаж трубы ПВХ,ПНД  д=20 мм	м	30
32	Монтаж трубы ПВХ,ПНД  д=25 мм	м	35
33	Монтаж трубы ПВХ,ПНД  д=32 мм	м	40
34	Монтаж трубы ПВХ,ПНД  д=40 мм	м	50
35	Монтаж трубы ПВХ,ПНД  д=50 мм	м	60
36	Монтаж трубы ПВХ,ПНД  д=63 мм	м	70
37	Монтаж трубы гофрированной д=16 мм	м	25
38	Монтаж трубы гофрированной д=20 мм	м	30
39	Монтаж трубы гофрированной д=25 мм	м	35
40	Монтаж трубы гофрированной д=32 мм	м	40
41	Монтаж трубы гофрированной д=40 мм	м	45
42	Монтаж трубы гофрированной д=50 мм	м	50
43	Монтаж кабельного канала 16 х 16	м	30
44	Монтаж кабельного канала 16 х 25	м	35
45	Монтаж кабельного канала 25 х 25	м	40
46	Монтаж кабельного канала 40 х 25	м	45
47	Монтаж кабельного канала 40 х 40	м	50
48	Монтаж кабельного канала 60 х 40	м	60
49	Монтаж кабельного канала 80 х 50	м	70
50	Монтаж кабельного канала 80 х 60	м	80
51	Монтаж кабельного канала 80 х 80	м	100
52	Монтаж кабельного канала 100 х 40	м	110
53	Монтаж кабельного канала 100 х 50	м	120
54	Монтаж кабельного канала 130 х 50	м	150
55	Монтаж лотков металлических 100 х 50	м	150
56	Монтаж лотков металлических 200 х 50	м	250
57	Монтаж лотков металлических 300 х 50	м	350
Розетки и выключатели
58	Монтаж розеток с заземлением 220 В , 16 А	шт	75
59	Монтаж выключателей и переключателей	шт	75
60	Монтаж диммеров	шт	100
61	Монтаж лючка напольного 10 модульного	шт	500
62	Монтаж коробки для 10 модульного лючка	шт	250
63	Монтаж лючка напольного 16 модульного	шт	600
64	Монтаж коробки для 16 модульного лючка	шт	300
65	Монтаж суппорта 2-х модульного	шт	50
66	Монтаж суппорта 4-х модульного	шт	75
67	Монтаж суппорта 6-и модульного	шт	100
68	Монтаж суппорта 8-и модульного	шт	150
73	Монтаж розетки 3-х фазной 380 В 25 А	шт	250
74	Монтаж подрозетников стыковочных	шт	75
75	Монтаж распределительных коробок	шт	250
Щиты и щитовое оборудование
76	Установка  щита 4 гр (пустого)	шт	200
77	Установка  щита 6 гр (пустого)	шт	300
78	Установка  щита 8 гр (пустого)	шт	400
79	Установка  щита 12 гр (пустого)	шт	500
80	Установка  щита 16 гр (пустого)	шт	700
81	Установка  щита 24 гр (пустого)	шт	900
82	Установка  щита 36 гр (пустого)	шт	1200
83	Установка  щита 48 гр (пустого)	шт	1400
84	Установка  щита 56 гр (пустого)	шт	1600
85	Установка  щита 72 гр (пустого)	шт	1800
86	Установка  щита 400 х 300 (пустого)	шт	400
87	Установка  щита 500 х 400 (пустого)	шт	600
88	Установка  щита 600 х 500 (пустого)	шт	800
89	Установка  щита 800 х 600 (пустого)	шт	1000
90	Установка  щита 1000 х 750 (пустого)	шт	1400
91	Установка  щита 1200 х 750 (пустого)	шт	1700
92	Установка  щита 1350 х 750 (пустого)	шт	2000
93	Установка  щита 1500 х 800 (пустого)	шт	2500
96	Монтаж модульного автомата 1-о полюсного	шт	100
97	Монтаж модульного автомата 2- х полюсного	шт	200
98	Монтаж модульного автомата 3- х полюсного	шт	300
99	Монтаж модульного автомата 4- х полюсного	шт	400
100	Монтаж установочных автоматов 3Ф 50, 63, 80 А	шт	500
101	Монтаж установочных автоматов 3Ф 100,125, 160, 225 А	шт	750
102	Монтаж установочных автоматов 3Ф 250,315, 400 А	шт	1000
103	Монтаж установочных автоматов 3Ф 600, 800 А	шт	1300
104	Монтаж установочных автоматов 3Ф 1000 А	шт	1500
106	Монтаж контакторов модульных 2-х полюсных	шт	200
107	Монтаж контакторов модульных 4-х полюсных	шт	350
108	Монтаж контакторов установочных  3Ф 40,63А	шт	500
109	Монтаж контакторов установочных  3Ф 80,95А	шт	750
110	Монтаж контакторов установочных  3Ф 100,160А	шт	1000
111	Монтаж контакторов установочных  3Ф 185, 250А	шт	1500
112	Монтаж контакторов установочных  3Ф 315, 400А	шт	2000
113	Монтаж счётчика электроэнергии прямого включения 1Ф	шт	700
114	Монтаж счётчика электроэнергии прямого включения 3Ф	шт	1500
115	Монтаж счётчика электроэнергии трансформаторного включения 3Ф	шт	2000
116	Монтаж трансформаторов тока 100/5 — 300/5	шт	500
117	Монтаж трансформаторов тока 400/5 — 600/5	шт	750
118	Монтаж трансформаторов тока 1000/5 — 1500/5	шт	1500
119	Монтаж кнопок управления и переключателей	шт	250
120	Монтаж колодок нулевых 6- 8 групп	шт	100
121	Монтаж колодок нулевых 10- 15 групп	шт	150
122	Монтаж колодок 100, 150 А	шт	200
123	Монтаж колодок 200, 250 А	шт	400
124	Монтаж колодок 400, 600 А	шт	600
125	Монтаж клемников коммутационных на дин.рейку	шт	20
126	Монтаж клемников WAGO	шт	10
127	Прессовка гильз 1,5 мм — 6 мм	шт	10
128	Прессовка гильз 10 мм — 16 мм	шт	30
129	Прессовка наконечников 10 кв.мм	шт	40
130	Прессовка наконечников  16 кв.мм	шт	50
131	Прессовка наконечников  25 кв.мм	шт	60
132	Прессовка наконечников  35 кв.мм	шт	80
133	Прессовка наконечников  50 кв.мм	шт	100
134	Прессовка наконечников  70 кв.мм	шт	120
135	Прессовка наконечников  95 кв.мм	шт	140
136	Прессовка наконечников 120 кв.мм	шт	160
Освещение
137	Установка софитов (LED) 3 — 6 Вт	шт	100
138	Установка софитов (LED) 6 — 12 Вт	шт	150
139	Установка софитов (LED) 12 — 24 Вт	шт	250
140	Установка светильников (LED)12 — 24 Вт	шт	250
141	Установка светильников (LED) 24 — 36 Вт	шт	300
142	Установка светильников (LED) 40 — 60 Вт	шт	350
143	Установка светильников (LED) 60 — 80 Вт	шт	400
144	Установка прожекторов	шт	500
145	Установка люстр (от 500 сом)	шт	500
146	Монтаж ленты светодиодной	шт	100
147	Монтаж шинопроводов (рельс)	м	250
Подготовительные и прочие работы
148	Штробление оштукатуренной ,кирпичной поверхности 20 х 30 мм	мп	60
149	Штробление бетонной поверхности 20 х 30 мм	мп	120
150	Тех.отверстия для распред. коробки в гипсокартонне	шт	60
151	Тех.отверстия для распред. коробки  в кирпиче	шт	120
152	Тех.отверстия для распред. коробки в бетоне	шт	240
153	Тех.отверстия для софитов в гипсокартонне до 70 мм	шт	50
154	Тех.отверстия для софитов в гипсокартонне  80 -120 мм	шт	80
155	Тех.отверстия для софитов в гипсокартонне 130 — 160 мм	шт	120
156	Тех.отверстия для софитов в гипсокартонне 170 — 200 мм	шт	150
